用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
陈婠阅,保密,"回复 @魏继特 :在一定程度上认同你的观点，只是依我的学习经验，觉得只要不读死书，区分书籍的好坏并专研自己感兴趣的那部分，学海无涯，在这个基础上保持谦逊，那么读书就会成为一个人认识世界的窗口，而不是在自我这个圆圈里打转。这时ta眼里的世界不再是黑白两片，心态也会更加包容。

很喜欢一句古诗，“已识乾坤大，犹怜草木青”，在我看来这是对读书人最好的勉励。读书在精不在多，有人一辈子只读过几本书，仍不失为真正的读书人。同样，若一个人这个看世界的窗口中发现自己的热爱所在，并为之奋斗终生，这也是非常幸福且幸运的事情。",七斤小米辣,二级评论,3,35,2023-07-26 22:32:54
马_大_哈,保密,回复 @阅婠 : 在读了，我为我以前不读书感到遗憾，哈哈哈，你说的有道理，那个别人就是我,七斤小米辣,二级评论,4,5,2023-07-28 16:50:35
看我肱二头肌,女,回复 @阅婠 :为自己感到骄傲就行了，少管别人的事，更别替别人遗憾,七斤小米辣,二级评论,6,45,2023-07-29 17:19:54
国考人,保密,回复 @种个小鱼 :哈哈哈,七斤小米辣,二级评论,4,0,2023-09-01 21:28:29
清雨压星河,女,回复 @陈婠阅 :是的，我以前不喜欢读书，现在在读了。读书不分贫穷贵贱，读书就好像和作者以及书中的人物对话，然后了解自己不了解的事情，读书是一辈子的事。,七斤小米辣,二级评论,4,7,2023-12-14 18:31:51
止水008,保密,读书也可能被洗脑，要广泛阅读，深入思考。,七斤小米辣,二级评论,4,62,2024-02-21 19:23:07
现男友是小可爱,女,回复 @止水008 :尽信书，则不如无书。自己会思考最重要[支持],七斤小米辣,二级评论,3,31,2024-05-05 04:01:08
猜猜小家伙是谁呢,保密,可以和书中伟大的灵魂交流,七斤小米辣,二级评论,4,1,2024-06-22 09:01:11
膝唐灵月,保密,饮可以少吃，但书必须多读,七斤小米辣,二级评论,2,1,2024-06-30 21:44:19
湖心亭看我,保密,读书生活化很重要‼️,七斤小米辣,二级评论,4,0,2024-09-08 15:09:45
我在爬楼梯,女,你的话很有道理我们要每天乐观尚上,七斤小米辣,二级评论,2,0,2024-09-12 21:03:05
牧荔,女,回复 @止水008 :对,七斤小米辣,二级评论,6,0,2024-10-08 11:25:21
鱼青飞yu,保密,回复 @陈婠阅 :没必要，做好自己就行,七斤小米辣,二级评论,4,0,2025-01-16 13:57:24
